Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
1,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
2,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
3,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
4,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
5,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
6,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
7,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
8,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
9,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
10,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
11,61574776517250,,https://www.facebook.com/61574776517250/,61574776517250,1 Jun 2025 - 3 Jun 2025 · Total active time 11 hrs,Incomplete data,N/A
22,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
23,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
24,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
25,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
26,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
27,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
28,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
34,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
35,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
36,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
37,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
38,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
39,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
40,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
46,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
47,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
48,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
49,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
50,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
51,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
52,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
58,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
59,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
60,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
61,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
62,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
63,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
64,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
70,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
71,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
72,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
73,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
74,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
75,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
76,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
82,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
83,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
84,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
85,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
86,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
87,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
88,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
94,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
95,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
96,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
97,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
98,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
99,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
100,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
109,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
110,61574776517250,...,https://www.facebook.com/61574776517250/,61574776517250,Unknown,Incomplete data,N/A
